                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 1.7052,                 3.7428,                 1.9723,                 1.5598,                0.51903,                0.32143,                0.28888,                0.10899,                0.00125,                0.03571,                0.00022,                  3e-05,                 1.8714,                 4.5199,                 3.5171,                 1.7713,              0.0019525,              0.0019525,              0.0019525
                     26,                 1.7909,                 3.7207,                 2.1525,                 1.6378,                0.41356,                0.30357,                0.28491,                0.12132,                0.00025,                0.01786,                 0.0001,                  1e-05,                 1.8546,                 5.0918,                 2.6006,                 1.6086,              0.0019505,              0.0019505,              0.0019505
                     27,                 1.6959,                 3.9165,                 2.1446,                 1.5396,                0.33418,                0.55357,                0.35831,                0.13683,                      0,                      0,                      0,                      0,                 2.0506,                 4.6011,                  2.329,                 1.9408,              0.0019485,              0.0019485,              0.0019485
                     28,                 1.7383,                 3.7627,                  2.016,                 1.5645,                0.47872,                  0.375,                0.34818,                 0.1457,                      0,                      0,                      0,                      0,                 2.5248,                 4.3072,                  2.648,                 3.0052,              0.0019465,              0.0019465,              0.0019465
                     29,                 1.6483,                 3.5565,                 1.9157,                 1.4953,                0.50731,                0.35714,                0.32853,                0.11553,                      0,                      0,                      0,                      0,                 2.5162,                 4.2538,                 2.6013,                 2.6721,              0.0019446,              0.0019446,              0.0019446
                     30,                 1.6745,                 3.7232,                  1.907,                 1.5214,                0.37749,                0.45487,                0.30815,                0.12059,                      0,                      0,                      0,                      0,                 2.2091,                 4.0709,                 2.4778,                 1.8733,              0.0019426,              0.0019426,              0.0019426
                     31,                 1.6185,                 3.7129,                 1.8546,                  1.503,                0.49283,                0.35714,                0.26132,                0.09942,                      0,                      0,                      0,                      0,                 2.3312,                 4.5305,                 2.5721,                 2.0392,              0.0019406,              0.0019406,              0.0019406
                     32,                 1.6968,                 3.7353,                 2.0162,                 1.5658,                0.34541,                0.32143,                0.21922,                0.09072,                0.00018,                0.01786,                0.00013,                  1e-05,                 2.5414,                 4.0576,                 2.4811,                 2.2161,              0.0019386,              0.0019386,              0.0019386
                     33,                 1.6469,                 3.6946,                 1.9439,                  1.493,                0.50046,                0.35714,                 0.3283,                0.13838,                      0,                      0,                      0,                      0,                 2.2478,                 4.1512,                 2.0725,                 1.8849,              0.0019366,              0.0019366,              0.0019366
                     34,                 1.6677,                 3.6006,                  1.909,                  1.508,                0.59548,                0.33929,                0.38726,                0.15546,                0.00016,                0.01786,                0.00012,                  1e-05,                 2.0827,                 4.7182,                   2.29,                 1.6808,              0.0019347,              0.0019347,              0.0019347
                     35,                   1.66,                 3.7388,                 1.8837,                 1.5398,                0.35985,                0.46429,                0.34666,                0.14887,                0.00016,                0.01786,                  8e-05,                  1e-05,                 2.0224,                 4.5155,                 2.3788,                 1.6748,              0.0019327,              0.0019327,              0.0019327
                     36,                 1.5799,                 3.6466,                 1.8442,                 1.4815,                0.39931,                0.33929,                 0.3479,                0.15309,                      0,                      0,                      0,                      0,                 2.0053,                 4.2002,                 2.1381,                 1.6344,              0.0019307,              0.0019307,              0.0019307
                     37,                 1.5398,                 3.5927,                 1.7941,                 1.4752,                0.57653,                0.41071,                0.40045,                0.15888,                      0,                      0,                      0,                      0,                 2.1882,                 4.3015,                 2.1033,                 1.9317,              0.0019287,              0.0019287,              0.0019287
                     38,                 1.5398,                 3.6193,                 1.8938,                 1.4705,                 0.7013,                0.33552,                0.39825,                0.15587,                      0,                      0,                      0,                      0,                 2.1011,                 4.4359,                 2.1675,                 1.9479,              0.0019267,              0.0019267,              0.0019267
                     39,                 1.6068,                 3.5694,                 1.8519,                  1.486,                0.46152,                0.42857,                 0.3523,                0.13177,                      0,                      0,                      0,                      0,                 2.1665,                 4.5708,                 2.3123,                 1.9731,              0.0019248,              0.0019248,              0.0019248
                     40,                 1.5509,                 3.6721,                 1.8158,                 1.4589,                0.39135,                0.46429,                0.30203,                0.09777,                      0,                      0,                      0,                      0,                 2.2042,                 4.5207,                 2.4469,                 1.8647,              0.0019228,              0.0019228,              0.0019228
                     41,                 1.6408,                 3.5631,                 1.7972,                 1.4812,                 0.3234,                0.44643,                0.24693,                0.07434,                      0,                      0,                      0,                      0,                 2.2041,                 4.4274,                 2.4895,                 1.8539,              0.0019208,              0.0019208,              0.0019208
                     42,                 1.5861,                 3.5084,                 1.7313,                 1.4684,                0.36631,                0.42857,                  0.269,                0.09239,                      0,                      0,                      0,                      0,                 2.0299,                 4.5191,                 2.1321,                 1.7111,              0.0019188,              0.0019188,              0.0019188
                     43,                 1.5964,                 3.5169,                 1.7232,                 1.4421,                0.39405,                0.51786,                0.37417,                0.13365,                0.01109,                0.01786,                0.00034,                 0.0001,                 1.9041,                 4.4925,                 2.0096,                 1.5706,              0.0019168,              0.0019168,              0.0019168
                     44,                 1.4926,                 3.5192,                 1.7875,                 1.3996,                0.63246,                0.36887,                0.49794,                 0.2076,                      0,                      0,                      0,                      0,                 1.8558,                 4.5902,                 1.8361,                 1.5479,              0.0019149,              0.0019149,              0.0019149
                     45,                 1.5207,                 3.4788,                 1.7415,                 1.4596,                0.47864,                0.44643,                0.42366,                 0.1777,                0.00021,                0.01786,                0.00013,                  1e-05,                 1.8958,                 4.5299,                 1.7976,                 1.5445,              0.0019129,              0.0019129,              0.0019129
                     46,                  1.502,                 3.4808,                 1.7584,                 1.4137,                0.43521,                0.44039,                0.38412,                0.14742,                      0,                      0,                      0,                      0,                 2.0159,                 4.5525,                 1.8627,                 1.6033,              0.0019109,              0.0019109,              0.0019109
                     47,                 1.4869,                 3.5003,                 1.6435,                 1.3791,                0.39046,                0.46429,                0.34634,                0.12924,                      0,                      0,                      0,                      0,                 1.9998,                 4.1848,                 1.8739,                 1.6034,              0.0019089,              0.0019089,              0.0019089
                     48,                 1.4577,                  3.413,                  1.687,                 1.3619,                0.32285,                    0.5,                0.30881,                0.14068,                0.05601,                0.01786,                0.00161,                0.00032,                 1.7419,                  4.463,                  1.872,                 1.4602,              0.0019069,              0.0019069,              0.0019069
                     49,                  1.489,                 3.4482,                 1.6872,                 1.4008,                0.31137,                0.42857,                 0.3198,                0.15518,                0.02752,                0.01786,                0.00131,                0.00016,                 1.7383,                 4.4517,                 1.8155,                 1.4786,               0.001905,               0.001905,               0.001905
                     50,                  1.545,                 3.5894,                 1.7219,                 1.4446,                0.39204,                0.44643,                0.36851,                0.16987,                0.00482,                0.01786,                0.00059,                  8e-05,                 1.8221,                 4.2604,                 1.7887,                 1.5179,               0.001903,               0.001903,               0.001903
                     51,                 1.4765,                 3.5297,                 1.7159,                  1.435,                0.28108,                0.49572,                0.31567,                0.13315,                0.00207,                0.01786,                0.00027,                  5e-05,                  1.907,                 4.0022,                 1.8288,                 1.5665,               0.001901,               0.001901,               0.001901
                     52,                 1.4686,                 3.4971,                 1.6439,                 1.3833,                0.27083,                0.41071,                0.21928,                0.08975,                      0,                      0,                      0,                      0,                 2.0801,                 3.9021,                 2.1811,                 1.6482,               0.001899,               0.001899,               0.001899
                     53,                 1.4563,                 3.4256,                 1.6493,                 1.3204,                0.28536,                0.42857,                0.27723,                0.10556,                0.00049,                0.01786,                0.00026,                  3e-05,                 2.0827,                 3.9101,                 1.9803,                 1.6036,               0.001897,               0.001897,               0.001897
                     54,                 1.3961,                 3.3245,                 1.5949,                 1.3103,                0.45261,                0.44643,                0.42094,                0.14622,                0.00056,                0.01786,                0.00032,                  6e-05,                 2.1514,                 3.8351,                 1.9614,                 1.7497,              0.0018951,              0.0018951,              0.0018951
                     55,                 1.4536,                 3.5071,                 1.5641,                 1.3176,                0.41341,                0.33929,                 0.3623,                0.11898,                      0,                      0,                      0,                      0,                 2.2029,                 3.7336,                 2.0174,                 1.7273,              0.0018931,              0.0018931,              0.0018931
                     56,                 1.4397,                 3.3942,                 1.6585,                 1.3855,                0.48445,                0.30207,                0.35544,                0.11732,                      0,                      0,                      0,                      0,                 2.1005,                 3.8662,                 2.0996,                 1.7171,              0.0018911,              0.0018911,              0.0018911
                     57,                 1.4338,                 3.4315,                 1.6412,                 1.3474,                0.44689,                0.41071,                0.38115,                0.12293,                      0,                      0,                      0,                      0,                  2.087,                 3.9215,                  2.002,                 1.6725,              0.0018891,              0.0018891,              0.0018891
                     58,                  1.436,                 3.4222,                 1.6568,                 1.3439,                0.42777,                0.41387,                0.36029,                0.11078,                      0,                      0,                      0,                      0,                 2.2004,                  4.085,                 2.2009,                 1.7062,              0.0018871,              0.0018871,              0.0018871
                     59,                 1.4728,                 3.4384,                 1.5321,                 1.3787,                0.44141,                0.25409,                0.27736,                0.09204,                      0,                      0,                      0,                      0,                 2.1286,                 4.1809,                 2.3523,                 1.7022,              0.0018852,              0.0018852,              0.0018852
                     60,                 1.4257,                 3.4293,                 1.5068,                  1.314,                0.61406,                0.19643,                0.25976,                0.08256,                      0,                      0,                      0,                      0,                 2.2944,                 4.0123,                  2.221,                 1.9399,              0.0018832,              0.0018832,              0.0018832
                     61,                 1.4317,                 3.4317,                 1.5843,                 1.3818,                0.25288,                0.26786,                 0.1384,                0.04519,                      0,                      0,                      0,                      0,                 2.9274,                  3.884,                  2.511,                 2.3027,              0.0018812,              0.0018812,              0.0018812
                     62,                 1.4177,                 3.4578,                 1.5514,                  1.345,                0.22248,                0.39286,                0.16242,                0.04705,                      0,                      0,                      0,                      0,                 2.7429,                 3.7972,                 2.4648,                 2.1415,              0.0018792,              0.0018792,              0.0018792
